id,producto,id_categoria,id_marca,stock,precio_unitario
1,"Televisor Smart 50""",2,2,548,"$47,747"
2,Taladro Percutor,3,3,806,"$835,652"
3,Sofá 3 Plazas,4,4,2,"$690,987"
4,Lavabo Minimalista,5,5,171,"$985,629"
5,Refrigerador Doble Puerta,1,6,189,"$223,863"
6,Cámara de Seguridad HD,2,7,354,"$482,914"
7,Martillo Neumático,3,8,302,"$144,665"
8,Silla de Oficina,4,9,394,"$659,595"
9,Ducha Termostática,5,10,836,"$191,819"
10,Microondas Digital,1,1,631,"$691,933"
11,"Tablet 10""",2,2,835,"$236,682"
12,Sierra Circular,3,3,44,"$295,689"
13,Mesa de Comedor 6 Pax,4,4,715,"$364,887"
14,Inodoro Ecológico,5,5,42,"$132,998"
15,Secadora de Ropa,1,6,952,"$66,361"
16,Smartphone 5G,2,7,67,"$823,697"
17,Destornillador Eléctrico,3,8,696,"$926,572"
18,Estantería de Madera,4,9,645,"$377,891"
19,Espejo con Luz LED,5,10,668,"$940,642"
20,Horno Eléctrico,1,1,976,"$563,882"
21,Laptop Ultrabook,2,2,351,"$922,983"
22,Mezcladora de Cemento,3,3,509,"$769,337"
23,Armario Modular,4,4,97,"$545,584"
24,Grifo Monomando,5,5,150,"$687,459"
25,Aspiradora Robot,1,6,484,"$320,711"
26,"Monitor Gaming 27""",2,7,482,"$152,617"
27,Compresor de Aire,3,8,166,"$594,502"
28,Cama King Size,4,9,355,"$450,682"
29,Bañera Esquinera,5,10,571,"$11,341"
30,Licuadora Profesional,1,1,221,"$825,678"
31,Audífonos Inalámbricos,2,2,609,"$336,962"
32,Pistola de Calor,3,3,959,"$898,819"
33,Escritorio Ajustable,4,4,60,"$333,965"
34,Toallero Calefactado,5,5,736,"$601,116"
35,Estufa a Gas,1,6,317,"$101,696"
36,Proyector HD,2,7,593,"$604,070"
37,Taladro Inalámbrico,3,8,560,"$933,953"
38,Silla Reclinable,4,9,42,"$311,726"
39,Lavamanos con Pedestal,5,10,591,$548
40,Batidora de Mano,1,1,825,"$268,668"
41,Consola de Videojuegos,2,2,81,"$679,913"
42,Cortadora de Césped,3,3,170,"$445,231"
43,Vitrina de Cristal,4,4,737,"$24,909"
44,Mampara de Ducha,5,5,967,"$704,374"
45,Aire Acondicionado Split,1,6,422,"$919,948"
46,Bocina Bluetooth,2,7,432,"$844,703"
47,Nivel Láser,3,8,758,"$29,595"
48,Aparador de Madera,4,9,312,"$780,391"
49,Inodoro Inteligente,5,10,698,"$575,541"
50,Lavadora Compacta,1,1,799,"$573,994"
51,"Televisor Smart 50""",2,2,597,"$517,776"
52,Taladro Percutor,3,3,963,"$421,143"
53,Sofá 3 Plazas,4,4,775,"$440,669"
54,Lavabo Minimalista,5,5,255,"$114,389"
55,Refrigerador Doble Puerta,1,6,503,"$716,249"
56,Cámara de Seguridad HD,2,7,856,"$632,149"
57,Martillo Neumático,3,8,97,"$585,333"
58,Silla de Oficina,4,9,183,"$33,076"
59,Ducha Termostática,5,10,609,"$160,798"
60,Microondas Digital,1,1,812,"$833,174"
61,"Tablet 10""",2,2,956,"$944,703"
62,Sierra Circular,3,3,233,"$142,999"
63,Mesa de Comedor 6 Pax,4,4,732,"$899,982"
64,Inodoro Ecológico,5,5,182,"$485,188"
65,Secadora de Ropa,1,6,764,"$17,378"
66,Smartphone 5G,2,7,593,"$959,947"
67,Destornillador Eléctrico,3,8,765,"$470,350"
68,Estantería de Madera,4,9,179,"$113,073"
69,Espejo con Luz LED,5,10,353,"$92,001"
70,Horno Eléctrico,1,1,283,"$955,985"
71,Laptop Ultrabook,2,2,732,"$992,766"
72,Mezcladora de Cemento,3,3,72,"$346,199"
73,Armario Modular,4,4,548,"$577,459"
74,Grifo Monomando,5,5,910,"$705,190"
75,Aspiradora Robot,1,6,745,"$101,882"
76,"Monitor Gaming 27""",2,7,215,"$525,464"
77,Compresor de Aire,3,8,575,"$817,498"
78,Cama King Size,4,9,280,"$524,990"
79,Bañera Esquinera,5,10,663,"$926,440"
80,Licuadora Profesional,1,1,312,"$758,139"
81,Audífonos Inalámbricos,2,2,939,"$239,758"
82,Pistola de Calor,3,3,447,"$625,303"
83,Escritorio Ajustable,4,4,175,"$14,735"
84,Toallero Calefactado,5,5,419,"$42,260"
85,Estufa a Gas,1,6,462,"$809,579"
86,Proyector HD,2,7,17,"$96,307"
87,Taladro Inalámbrico,3,8,442,"$916,021"
88,Silla Reclinable,4,9,903,"$226,116"
89,Lavamanos con Pedestal,5,10,124,"$538,885"
90,Batidora de Mano,1,1,40,"$288,404"
91,Consola de Videojuegos,2,2,157,"$120,053"
92,Cortadora de Césped,3,3,31,"$122,644"
93,Vitrina de Cristal,4,4,169,"$231,668"
94,Mampara de Ducha,5,5,359,"$269,593"
95,Aire Acondicionado Split,1,6,87,"$183,970"
96,Bocina Bluetooth,2,7,869,"$52,997"
97,Nivel Láser,3,8,723,"$742,923"
98,Aparador de Madera,4,9,97,"$78,807"
99,Inodoro Inteligente,5,10,748,"$180,029"
100,Lavadora Compacta,1,1,910,"$461,456"
101,"Televisor Smart 50""",2,2,819,"$771,645"
102,Taladro Percutor,3,3,887,"$438,852"
103,Sofá 3 Plazas,4,4,815,"$39,317"
104,Lavabo Minimalista,5,5,247,"$12,166"
105,Refrigerador Doble Puerta,1,6,286,"$612,340"
106,Cámara de Seguridad HD,2,7,460,"$439,937"
107,Martillo Neumático,3,8,319,"$978,441"
108,Silla de Oficina,4,9,82,"$754,763"
109,Ducha Termostática,5,10,449,"$350,686"
110,Microondas Digital,1,1,536,"$459,091"
111,"Tablet 10""",2,2,445,"$957,189"
